100	0
180	0
260	0
330	0
400	0
470	0
540	0
610	0
690	0
760	0
830	0
900	0
980	0
1050	0
1120	0
1190	0
1260	0
1330	0
1400	0
1470	0
1540	0
1610	0
1680	0
1750	0
1820	0
1890	0
1970	0
2040	0
2110	0
2170	0
2250	0
2320	0
2390	0
2460	0
2530	0
2600	0
2670	0
2740	0
2810	0
2880	0
2950	0
3020	0
3090	0
3160	0
3240	0
3310	0
3380	0
3450	0
3520	0
3590	0
3660	0
3740	0
3810	0
3880	0
3950	0
4020	0
4090	0
4160	0
4230	0
4300	0
4370	0
4440	0
4510	0
4580	0
4650	0
4720	0
4790	0
4860	0
4930	0
5000	0
5070	0
5150	0
5220	0
5290	0
5360	0
5430	0
5500	0
5570	0
5640	0
5710	0
5790	0
5850	0
5920	0
5990	0
6060	0
6130	0
6200	0
6270	0
6340	0
6410	0
6490	0
6560	0
6630	0
6700	0
6770	0
6840	0
6910	0
6980	0
7060	0
7130	0
7200	0
7270	0
7340	0
7410	0
7480	0
7550	0
7620	0
7690	0
7760	0
